report_date,service,program,base_year,baseline_type,prime_contractor,secondary_contractor,platform_portfolio,cohort,merger_exposure,treatment_rule,baseline_pauc_total,baseline_pauc_qty,baseline_pauc_est,current_pauc_total,current_pauc_qty,current_pauc_est,baseline_apuc_total,baseline_apuc_qty,baseline_apuc_est,current_apuc_total,current_apuc_qty,current_apuc_est
2019-12-31,Air Force,MQ-9 UAS Reaper,2008,PdE,General Atomics,,Aircraft,0,,,11541.3,404,28.568,9982.7,414,24.113,10402.1,401,25.94,8530.3,411,20.755
2019-12-31,Air Force,SBIRS HIGH - Block Buy,1995,PdE,Lockheed Martin,,Space Systems,0,,,2681.6,2,1340.8,2228.3,2,1114.15,2681.6,2,1340.8,2228.3,2,1114.15
2019-12-31,Air Force,SDB II,2010,PdE,Raytheon,,Ordnance and Missiles,2021,Raytheon-UTC,prime-Raytheon,4577.5,17163,0.267,4635.4,17163,0.27,2976.3,17000,0.175,2804.6,17000,0.165
2019-12-31,Air Force,Space Fence Inc 1,2014,DE,Lockheed Martin,,Space Systems,0,,,1567.7,1,1567.7,1437.6,1,1437.6,0,0,,0,0,
2019-12-31,Air Force,VC-25B,2018,PdE,Boeing,,Aircraft,0,,,5014,2,2507,4911.2,2,2455.6,51,0,,20.5,0,
2019-12-31,Air Force,WGS,2010,PdE,Boeing,,Space Systems,0,,,3610.6,7,515.8,4177.9,9,464.211,3193.4,7,456.2,3733.6,9,414.844
2019-12-31,DoD,CHEM DEMIL - ACWA,1994,PdE,Bechtel,,Other Services,0,,,5413,3136,1.726,8887.7,3136,2.834,0,0,,0,0,
2019-12-31,DoD,F-35 - Aircraft,2012,DE,Lockheed Martin,Northrop Grumman,Aircraft,0,,,276482.2,2458,112.483,266939.1,2470,108.073,224333.7,2443,91.827,204166,2456,83.109
2019-12-31,DoD,F-35 - Engine,2012,DE,Pratt & Whitney,Hamilton Sundstrand,Aircraft,2013,UTC-Goodrich,prime-UTC,53916.4,2458,21.935,54510.2,2470,22.069,42332.9,2443,17.328,40905.3,2456,16.655
2019-12-31,DoD,JTRS HMS,2004,PdE,Harris Corporation,Rockwell Collins,"Electronics, Comms, and Sensors",2019,UTC-Rockwell Collins,sub-Rockwell,8569,329574,0.026,7684.2,299972,0.026,8104,328514,0.025,6553.9,299139,0.022
2019-12-31,DoD,MIDS,2003,PdE,BAE Systems,Rockwell Collins,"Electronics, Comms, and Sensors",2019,UTC-Rockwell Collins,sub-Rockwell,1091.4,672,1.624,4445.3,10936,0.406,523.7,630,0.831,2392.2,10086,0.237
2020-12-31,Army,AB3A Remanufacture,2010,PdE,Boeing,Longbow LLC,Aircraft,2016,Lockheed-Sikorsky,sub-Lockheed,10468.7,639,16.383,,,,8856.9,634,13.97,,,
2020-12-31,Army,AB3B New Build,2010,PdE,Boeing,Longbow LLC,Aircraft,2016,Lockheed-Sikorsky,sub-Lockheed,2134.6,56,38.118,,,,2134.6,56,38.118,,,
2020-12-31,Army,AMPV,2015,PdE,BAE Systems,,Land Vehicles,0,,,10724.8,2936,3.653,,,,9736.6,2897,3.361,,,
2020-12-31,Army,CH-47F Block II,2017,DE,Boeing,,Aircraft,0,,,16219.8,542,29.926,,,,15208.8,539,28.217,,,
2020-12-31,Army,CIRCM,2015,PdE,Northrop Grumman,,"Electronics, Comms, and Sensors",0,,,2537.1,1124,2.257,,,,1782.5,1076,1.657,,,
2020-12-31,Army,GMLRS/GMLRS AW,2003,PdE,Lockheed Martin,Alliant TechSystems (ATK),Ordnance and Missiles,2019,Northrop-Orbital ATK,sub-ATK,4578.4,43795,0.105,,,,3966.7,43560,0.091,,,
2020-12-31,Army,IAMD,2009,DE,Northrop Grumman,,Air and Missile Defense,0,,,4806.8,296,16.239,,,,3316,285,11.635,,,
2020-12-31,Army,ITEP,2019,DE,General Electric,,Aircraft,0,,,12088.4,6258,1.932,,,,10030.5,6189,1.621,,,
2020-12-31,Army,JAGM,2015,PdE,Lockheed Martin,Aerojet Rocketdyne,Ordnance and Missiles,0,,,5669.9,26437,0.214,,,,4691.4,26319,0.178,,,
2020-12-31,Army,JLTV,2012,PdE,AM General,,Land Vehicles,0,,,22780.2,54730,0.416,,,,21782,54599,0.399,,,
2020-12-31,Army,PAC-3 MSE,2004,PdE,Lockheed Martin,Boeing,Air and Missile Defense,0,,,6220.9,1528,4.071,,,,5760,1528,3.77,,,
2020-12-31,Army,PIM,2011,PdE,BAE Systems,,"Electronics, Comms, and Sensors",0,,,6641,582,11.411,,,,5640.1,580,9.724,,,
2020-12-31,Army,PrSM,2021,DE,Lockheed Martin,,Ordnance and Missiles,0,,,6685.3,4021,1.663,,,,5542.2,3896,1.39,,,
